month,region,revenue
1,north,28.3
1,south,57.2
1,west,40.5
2,north,32.4
2,south,54.3
2,west,44.9
3,north,45.6
3,south,67.1
3,west,57.2
4,north,47.2
4,south,73.0
4,west,58.9
5,north,42.1
5,south,79.7
5,west,64.9
6,north,54.5
6,south,68.5
6,west,55.3
7,north,45.9
7,south,73.1
7,west,63.9
8,north,45.8
8,south,73.6
8,west,54.8
9,north,41.5
9,south,67.0
9,west,48.7
10,north,42.6
10,south,61.8
10,west,52.0
11,north,26.5
11,south,50.9
11,west,39.9
12,north,27.5
12,south,56.2
12,west,41.2
